appid,time,count_4xx,cout_404
200524,2018-11-25 20:00:00,985626,0
200524,2018-11-25 21:00:00,933545,0
200524,2018-11-25 22:00:00,824785,0
200524,2018-11-25 23:00:00,658031,0
200541,2018-11-25 10:00:00,1,0
200541,2018-11-25 18:00:00,1,0
200547,2018-11-25 00:00:00,2308,0
200547,2018-11-25 01:00:00,1559,0
200547,2018-11-25 02:00:00,933,0
200547,2018-11-25 03:00:00,738,0
200547,2018-11-25 04:00:00,565,0
200547,2018-11-25 05:00:00,710,0
200547,2018-11-25 06:00:00,1056,0
200547,2018-11-25 07:00:00,1590,0
200547,2018-11-25 08:00:00,1763,0
200547,2018-11-25 09:00:00,2354,0
200547,2018-11-25 10:00:00,2415,0
200547,2018-11-25 11:00:00,2462,0
200547,2018-11-25 12:00:00,2656,0
200547,2018-11-25 13:00:00,3167,0
200547,2018-11-25 14:00:00,3421,0
200547,2018-11-25 15:00:00,2986,0
200547,2018-11-25 17:00:00,2848,0
200547,2018-11-25 18:00:00,4005,0
200547,2018-11-25 19:00:00,4673,0
200547,2018-11-25 20:00:00,5222,0
200547,2018-11-25 21:00:00,4552,0
200547,2018-11-25 22:00:00,4079,0
200547,2018-11-25 23:00:00,2501,0
200549,2018-11-25 00:00:00,2469341,0
200549,2018-11-25 01:00:00,1556684,0
200549,2018-11-25 02:00:00,957125,0
200549,2018-11-25 03:00:00,657642,0
200549,2018-11-25 04:00:00,681244,0
200549,2018-11-25 05:00:00,700590,0
200549,2018-11-25 06:00:00,1136911,0
200549,2018-11-25 07:00:00,1722068,0
200549,2018-11-25 08:00:00,2189607,0
200549,2018-11-25 09:00:00,2563351,0
200549,2018-11-25 10:00:00,2802535,0
200549,2018-11-25 11:00:00,2822715,0
200549,2018-11-25 12:00:00,2872498,0
200549,2018-11-25 13:00:00,3026183,0
200549,2018-11-25 14:00:00,3021930,0
200549,2018-11-25 15:00:00,2981529,0
200549,2018-11-25 17:00:00,2596598,0
200549,2018-11-25 18:00:00,2716917,0
200549,2018-11-25 19:00:00,3127848,0
200549,2018-11-25 20:00:00,3373758,0
200549,2018-11-25 21:00:00,3542261,0
200549,2018-11-25 22:00:00,3448920,0
200549,2018-11-25 23:00:00,2830090,0
200556,2018-11-25 00:00:00,261,0
200556,2018-11-25 01:00:00,193,0
200556,2018-11-25 02:00:00,98,0
200556,2018-11-25 03:00:00,62,0
200556,2018-11-25 04:00:00,83,0
200556,2018-11-25 05:00:00,86,0
200556,2018-11-25 06:00:00,155,0
200556,2018-11-25 07:00:00,172,0
200556,2018-11-25 08:00:00,161,0
200556,2018-11-25 09:00:00,200,0
200556,2018-11-25 10:00:00,174,0
200556,2018-11-25 11:00:00,172,0
200556,2018-11-25 12:00:00,208,0
200556,2018-11-25 13:00:00,233,0
200556,2018-11-25 14:00:00,221,0
200556,2018-11-25 15:00:00,171,0
200556,2018-11-25 17:00:00,166,0
200556,2018-11-25 18:00:00,166,0
200556,2018-11-25 19:00:00,252,0
200556,2018-11-25 20:00:00,285,0
200556,2018-11-25 21:00:00,270,0
200556,2018-11-25 22:00:00,286,0
200556,2018-11-25 23:00:00,536,0
200574,2018-11-25 00:00:00,33,0
200574,2018-11-25 01:00:00,16,0
200574,2018-11-25 02:00:00,34,0
200574,2018-11-25 03:00:00,5,0
200574,2018-11-25 04:00:00,7,0
200574,2018-11-25 05:00:00,12,0
200574,2018-11-25 06:00:00,21,0
200574,2018-11-25 07:00:00,44,0
200574,2018-11-25 08:00:00,80,0
200574,2018-11-25 09:00:00,76,0
200574,2018-11-25 10:00:00,105,0
200574,2018-11-25 11:00:00,94,0
200574,2018-11-25 12:00:00,65,0
