domain,time,count_4xx,cout_404
www.sogou.com,2018-11-25 00:00:00,590101,11096
www.sogou.com,2018-11-25 01:00:00,474232,6684
www.sogou.com,2018-11-25 02:00:00,403665,4349
www.sogou.com,2018-11-25 03:00:00,370851,3536
www.sogou.com,2018-11-25 04:00:00,358076,3081
www.sogou.com,2018-11-25 05:00:00,365021,3189
www.sogou.com,2018-11-25 06:00:00,372671,3871
www.sogou.com,2018-11-25 07:00:00,487384,7395
www.sogou.com,2018-11-25 08:00:00,680648,15940
www.sogou.com,2018-11-25 09:00:00,990284,26829
www.sogou.com,2018-11-25 10:00:00,1126682,31895
www.sogou.com,2018-11-25 11:00:00,1155066,30818
www.sogou.com,2018-11-25 12:00:00,1066966,28057
www.sogou.com,2018-11-25 13:00:00,1149029,31809
www.sogou.com,2018-11-25 14:00:00,1206138,34214
www.sogou.com,2018-11-25 15:00:00,1254933,34855
www.sogou.com,2018-11-25 17:00:00,1138959,29960
www.sogou.com,2018-11-25 18:00:00,1069369,27071
www.sogou.com,2018-11-25 19:00:00,1113199,29613
www.sogou.com,2018-11-25 20:00:00,1133257,28483
www.sogou.com,2018-11-25 21:00:00,1065433,25891
www.sogou.com,2018-11-25 22:00:00,929329,20243
www.sogou.com,2018-11-25 23:00:00,732603,13977
iwan.sogou.com,2018-11-25 00:00:00,738,23
iwan.sogou.com,2018-11-25 01:00:00,484,17
iwan.sogou.com,2018-11-25 02:00:00,439,18
iwan.sogou.com,2018-11-25 03:00:00,319,8
iwan.sogou.com,2018-11-25 04:00:00,223,10
iwan.sogou.com,2018-11-25 05:00:00,160,9
iwan.sogou.com,2018-11-25 06:00:00,134,9
iwan.sogou.com,2018-11-25 07:00:00,247,15
iwan.sogou.com,2018-11-25 08:00:00,685,31
iwan.sogou.com,2018-11-25 09:00:00,1027,42
iwan.sogou.com,2018-11-25 10:00:00,1656,57
iwan.sogou.com,2018-11-25 11:00:00,1763,43
iwan.sogou.com,2018-11-25 12:00:00,2013,62
iwan.sogou.com,2018-11-25 13:00:00,2232,109
iwan.sogou.com,2018-11-25 14:00:00,2404,68
iwan.sogou.com,2018-11-25 15:00:00,2738,79
iwan.sogou.com,2018-11-25 17:00:00,2353,78
iwan.sogou.com,2018-11-25 18:00:00,1892,68
iwan.sogou.com,2018-11-25 19:00:00,1900,74
iwan.sogou.com,2018-11-25 20:00:00,1950,66
iwan.sogou.com,2018-11-25 21:00:00,1566,48
iwan.sogou.com,2018-11-25 22:00:00,1465,38
iwan.sogou.com,2018-11-25 23:00:00,1196,38
xuri.p4p.sogou.com,2018-11-25 01:00:00,84,1
xuri.p4p.sogou.com,2018-11-25 17:00:00,1959,7
xuri.p4p.sogou.com,2018-11-25 18:00:00,592,4
xuri.p4p.sogou.com,2018-11-25 15:00:00,3500,7
xuri.p4p.sogou.com,2018-11-25 09:00:00,4667,10
xuri.p4p.sogou.com,2018-11-25 11:00:00,2050,15
xuri.p4p.sogou.com,2018-11-25 13:00:00,2349,9
xuri.p4p.sogou.com,2018-11-25 14:00:00,3767,3
xuri.p4p.sogou.com,2018-11-25 10:00:00,3958,5
xuri.p4p.sogou.com,2018-11-25 20:00:00,766,0
xuri.p4p.sogou.com,2018-11-25 00:00:00,234,0
xuri.p4p.sogou.com,2018-11-25 02:00:00,92,0
xuri.p4p.sogou.com,2018-11-25 04:00:00,20,0
xuri.p4p.sogou.com,2018-11-25 06:00:00,96,0
xuri.p4p.sogou.com,2018-11-25 07:00:00,104,0
xuri.p4p.sogou.com,2018-11-25 08:00:00,2216,1
xuri.p4p.sogou.com,2018-11-25 12:00:00,510,6
xuri.p4p.sogou.com,2018-11-25 19:00:00,674,1
xuri.p4p.sogou.com,2018-11-25 21:00:00,654,0
xuri.p4p.sogou.com,2018-11-25 22:00:00,299,1
xuri.p4p.sogou.com,2018-11-25 23:00:00,98,0
3g.v.sogou.com,2018-11-25 01:00:00,8,2
3g.v.sogou.com,2018-11-25 12:00:00,10,2
3g.v.sogou.com,2018-11-25 14:00:00,11,2
3g.v.sogou.com,2018-11-25 15:00:00,30,23
3g.v.sogou.com,2018-11-25 17:00:00,11,1
3g.v.sogou.com,2018-11-25 19:00:00,17,1
3g.v.sogou.com,2018-11-25 09:00:00,7,0
3g.v.sogou.com,2018-11-25 00:00:00,10,0
3g.v.sogou.com,2018-11-25 02:00:00,6,0
3g.v.sogou.com,2018-11-25 03:00:00,6,0
3g.v.sogou.com,2018-11-25 04:00:00,1,0
3g.v.sogou.com,2018-11-25 05:00:00,7,0
3g.v.sogou.com,2018-11-25 06:00:00,3,0
3g.v.sogou.com,2018-11-25 07:00:00,2,0
3g.v.sogou.com,2018-11-25 08:00:00,4,0
3g.v.sogou.com,2018-11-25 10:00:00,8,0
3g.v.sogou.com,2018-11-25 11:00:00,7,0
3g.v.sogou.com,2018-11-25 13:00:00,9,0
3g.v.sogou.com,2018-11-25 18:00:00,14,0
3g.v.sogou.com,2018-11-25 20:00:00,17,0
3g.v.sogou.com,2018-11-25 21:00:00,29,0
3g.v.sogou.com,2018-11-25 22:00:00,54,0
3g.v.sogou.com,2018-11-25 23:00:00,30,0
img04.store.sogou.com,2018-11-25 02:00:00,1,1
img04.store.sogou.com,2018-11-25 09:00:00,1,1
img04.store.sogou.com,2018-11-25 11:00:00,2,2
img04.store.sogou.com,2018-11-25 14:00:00,1,1
img04.store.sogou.com,2018-11-25 18:00:00,10,1
img04.store.sogou.com,2018-11-25 19:00:00,1,1
img04.store.sogou.com,2018-11-25 23:00:00,1,1
yx.sogou.com,2018-11-25 02:00:00,1258,8
yx.sogou.com,2018-11-25 06:00:00,275,6
yx.sogou.com,2018-11-25 07:00:00,1280,8
yx.sogou.com,2018-11-25 08:00:00,1641,19
yx.sogou.com,2018-11-25 09:00:00,1612,36
